# VNF name to host mapping
web0-0,311861415781
fw0,55668766
lb10,24889958242
app0-0,24889958242
web0-1,36985979237
fw1,346549807879
app0-1,346332049335
web0-2,346332049335
fw2,10633245306
app0-2,282474359989
web0-3,282474359989
app0-3,282474359989
web0-4,311951227630
app0-4,311951227630
web0-5,28554992250
app0-5,28554992250
web0-6,114074903003
app0-6,114074903003
web0-7,159679685340
app0-7,159679685340
app0-8,159679685340
app0-9,192955220
app0-10,192955220
app0-11,192955220
app0-12,192955220
app0-13,311851187208
app0-14,311851187208
app0-15,311851187208
app0-16,311851187208
app0-17,20225652229
app0-18,20225652229
app0-19,20225652229
app0-20,20225652229
app0-21,284663577384
app0-22,284663577384
app0-23,284663577384
lb20,346548507701
ids0,13240121163
db0-0,20297758215
ids1,284663355841
db0-1,358268333473
ids2,377969474529
